Hours,Scores
2.5,21.0
5.1,47.0
3.2,27.0
8.5,74.0
3.5,30.0
5.8,60.0
4.4,44.0
6.1,63.0
3.7,37.0
8.0,84.0
8.5,41.0
5.8,73.0
7.0,53.0
9.4,68.0
8.7,56.0
3.2,63.0
6.9,49.0
4.8,84.0
4.9,51.0
5.9,57.0
5.4,86.0
7.9,22.0
6.5,23.0
5.3,68.0
5.9,25.0
5.7,87.0
7.9,40.0
4.7,34.0
5.7,87.0
3.4,78.0
0.2,86.0
6.3,67.0
6.7,32.0
3.7,87.0
9.4,43.0
2.3,65.0
5.2,68.0
4.7,46.0
8.0,61.0
7.9,67.0
5.4,56.0
5.8,27.0
3.4,55.0
1.3,75.0
4.4,35.0
5.4,46.0
7.4,40.0
7.4,86.0
4.3,62.0
4.5,57.0
3.1,33.0
2.4,59.0
1.8,35.0
8.8,49.0
4.1,36.0
4.2,62.0
2.7,60.0
6.6,45.0
2.0,57.0
4.7,27.0
3.4,19.0
5.8,57.0
4.1,52.0
2.8,61.0
5.0,96.0
5.9,68.0
5.2,31.0
5.7,71.0
3.9,22.0
4.4,40.0
3.8,47.0
4.4,83.0
3.5,34.0
1.8,32.0
5.4,47.0
4.3,35.0
2.0,71.0
6.0,27.0
3.3,26.0
5.2,40.0
6.5,39.0
5.3,87.0
7.3,68.0
2.7,50.0
5.9,24.0
3.8,66.0
3.4,29.0
4.0,18.0
4.5,72.0
5.2,55.0
2.8,67.0
6.8,55.0
6.0,66.0
2.1,36.0
7.9,28.0
8.7,62.0
7.3,33.0
4.7,35.0
3.0,40.0
7.1,49.0
